word_text,count
kdybyste,12
chtela,12
chalankova,12
bavi,12
zije,12
mohlo,12
super,12
dodavky,12
televizi,12
kraji,12
historii,12
cesi,12
vzor,12
jmenem,12
gorbacov,12
nenavist,12
prachy,12
noviny,12
mohu,12
informacni,12
plus,12
zapomnel,12
blizkem,12
naseho,12
rikaji,12
prvnim,12
dojde,12
neobstal,12
suro,12
munice,12
vratit,12
pondeli,12
srovnani,12
chodil,12
bile,12
cinu,12
vseobecne,12
babisovi,12
predstavy,12
reakce,12
obou,12
reditele,12
ptat,12
platil,12
zahranicni,12
vyjimky,12
hranic,12
predchozich,12
skonci,12
latky,12
mlady,12
procent,12
obema,12
vedoucich,12
vedou,12
podporu,12
plne,12
drogy,11
reaktoru,11
delal,11
osn,11
cizi,11
znate,11
stan,11
sluzba,11
rodin,11
zdali,11
leda,11
ruskym,11
totalni,11
stav,11
ziskala,11
pravdou,11
zbytecna,11
zrusit,11
videli,11
voli,11
zajimat,11
informovali,11
zbytecny,11
casopis,11
procesu,11
znamy,11
dolu,11
zkuste,11
blbec,11
pricemz,11
zkusit,11
nazvu,11
cez,11
zrusil,11
krizi,11
navzajem,11
potreby,11
soud,11
normalni,11
potkal,11
reci,11
kruhu,11
dobrou,11
svine,11
majdan,11
brne,11
svobodni,11
vybuchu,11
jablek,11
soudruhu,11
lidstva,11
silnici,11
cist,11
les,11
rikali,11
kralovstvi,11
zem,11
naproste,11
byva,11
patnacti,11
prvne,11
mile,11
jaka,11
neuveritelne,11
vlakem,11
pomalu,11
hlouposti,11
dejme,11
zname,11
nerekl,11
jednotky,11
david,11
vlastnich,11
patek,11
vidime,11
euro,11
oko,11
spojenymi,11
politika,11
potrebu,11
druheho,11
pruser,11
nefunguje,11
kyjeva,11
pusti,11
puvodu,11
informuje,11
vina,11
realny,11
sebemensi,11
akci,11
tezky,11
stejny,11
prostredky,11
pole,11
vety,11
vetsinove,11
kral,11
nechteli,11
republika,11
zpravy,11
naroda,11
trvat,11
vyjadreni,11
uprimne,11
necetl,11
zavest,11
the,11
neverim,11
tela,11
odbornici,11
velvyslanec,11
blaboly,11
sakra,11
podniky,11
roste,11
jizda,11
federace,11
stabu,11
krale,11
cekam,11
schopni,11
pil,11
valkou,11
nechali,11
zaklade,11
oficialne,11
najednou,11
vyjadrovani,11
klaus,11
furt,11
srdce,11
new,11
bordel,11
neho,11
cili,11
kone,11
svetovou,11
udrzet,11
klidek,11
nejlepe,11
republiku,11
podarilo,11
diry,11
bombach,11
agresorem,11
mesta,11
zivou,11
lidmi,11
projektu,11
nechal,11
tvrdit,11
uderu,11
luganske,11
vyznam,11
minimalne,11
laskave,11
petr,11
burese,11
problemy,11
podal,11
klidu,11
hitlera,11
pojistka,11
neprijatelne,11
letadla,11
projit,11
vyvoje,11
vyvoj,11
dozvedeli,11
mista,11
cesku,11
vysoky,11
nemohu,11
nekolikrat,11
bezpecnost,11
uhli,11
pocatku,11
clena,11
kristna,11
porusovani,11
