,author,author_count_total,author_count_rel,author_count_nerel,author_avg_influenceScore,author_avg_followers,author_avg_fans,author_avg_favs,author_avg_angry,author_avg_comments,author_avg_dislikes,author_avg_haha,author_avg_hearts,author_avg_like,author_avg_likes,author_avg_love,author_avg_retweet,author_avg_sad,author_avg_shares,author_avg_thankful,author_avg_uniqueVievs,author_avg_views,author_avg_wow
109,Jarmila Passerova (@passerovaj),9,7,2,1.0,27.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Eva Mihaličová,8,7,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,cernakus,8,7,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Květoslava Konečná,8,7,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Crewfucker,8,1,7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,ott,8,0,8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Hospodářské noviny (@Hospodarky),8,7,1,8.0,190780.75,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,J. Janeček,8,0,8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Mária Matovičová (maria.matovic),8,5,3,4.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Jan (@Jan59088163),8,7,1,3.0,80.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Český fotbal pro fanoušky,8,1,7,6.5,0.0,36468.375,0.0,0.125,4.375,0.0,0.0,0.0,45.875,0.0,5.5,0.0,0.125,1.375,0.0,0.0,0.0,0.75
120,Zdeněk Blahna,8,0,8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Miroslav Tauš,8,4,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Veliký Žid-dráteník-sionista,8,2,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,ID,8,1,7,4.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Petr Skála (@petrskala90),8,8,0,2.25,51.875,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,@jetemelin,7,7,0,3.857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,32.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Melixx,7,2,5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,farnhajt,7,1,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Security Magazín,7,7,0,5.428571428571429,0.0,6235.857142857143,0.0,0.42857142857142855,4.0,0.0,1.7142857142857142,0.0,9.0,0.0,0.5714285714285714,0.0,0.2857142857142857,3.2857142857142856,0.0,0.0,0.0,0.2857142857142857
129,Stanislav Opatrný (@satanik66666),7,7,0,3.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Radim Jírovec (@Radim_J),7,7,0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Osvietený,7,7,0,2.7142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Svobodné fórum,7,7,0,7.0,0.0,62435.71428571428,0.0,24.142857142857142,34.857142857142854,0.0,34.142857142857146,0.0,19.714285714285715,0.0,1.0,0.0,1.1428571428571428,14.857142857142858,0.0,0.0,0.0,0.42857142857142855
133,Blaník,7,0,7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Stanislav Martin,7,0,7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,John - Security magazín,7,7,0,5.571428571428571,0.0,62922.71428571428,0.0,0.7142857142857143,9.142857142857142,0.0,1.0,0.0,2.857142857142857,0.0,0.14285714285714285,0.0,0.2857142857142857,1.4285714285714286,0.0,0.0,0.0,0.14285714285714285
136,Č. Berka,7,1,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Martin Kosejk,7,0,7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
